date,Ambiguous Interface,Cyclic Dependency,Dense Structure,Feature Concentration,God Component,Scattered Functionality,Unstable Dependency,Total Smells,DS avg. degree,PC,DL,Code Coverage,LOC,Nr. of Classes
2018-05-09,0,3,0,1,0,0,1,5,,,,45.63%,1400,10
2018-06-08,0,4,0,1,0,0,1,6,,,,54.68%,1443,10
2018-07-07,0,4,0,1,0,0,1,6,,,,58.69%,1443,10
2018-08-07,0,4,0,1,0,0,1,6,,,,58.69%,1443,10
2018-09-07,0,4,0,1,0,0,1,6,,,,58.69%,1443,10
2018-10-08,0,4,0,1,0,0,1,6,,,,58.69%,1443,10
2018-11-22,0,4,0,1,0,0,1,6,,,,58.69%,1443,10
2018-12-28,0,4,0,1,0,0,1,6,,,,58.69%,1443,10
2019-01-28,0,4,0,1,0,0,1,6,,,,58.69%,1443,10
2019-02-27,0,4,0,1,0,0,1,6,,,,58.69%,1443,10
2019-04-09,0,4,0,1,0,0,1,6,,,,58.72%,1443,10
2019-05-10,0,4,0,1,0,0,1,6,,,,58.72%,1443,10
2019-06-11,0,4,0,1,0,0,1,6,,,,58.72%,1443,10
2019-07-26,0,4,0,1,0,0,1,6,,,,58.72%,1443,10
2019-08-30,0,4,0,1,0,0,1,6,,,,58.72%,1443,10
2019-10-07,0,4,0,1,0,0,1,6,,,,58.72%,1443,10
2019-11-06,0,4,0,1,0,0,1,6,,,,58.72%,1443,10
2019-12-05,0,4,0,1,0,0,1,6,,,,58.72%,1443,10
2020-02-18,0,4,0,1,0,0,1,6,,,,58.72%,1443,10
2020-04-14,0,4,0,1,0,0,1,6,,,,59.07%,1443,10
2020-05-15,0,4,0,1,0,0,1,6,,,,49.14%,1348,9
2020-06-22,0,4,0,1,0,0,1,6,,,,49.14%,1348,9
2020-08-01,0,4,0,1,0,0,1,6,,,,44.03%,1346,9
2020-09-24,0,4,0,1,0,0,1,6,,,,49.10%,1346,9
2020-12-09,0,4,0,1,0,0,1,6,,,,49.10%,1346,9
2021-01-07,0,4,0,1,0,0,1,6,,,,,1346,9
2021-02-05,0,4,0,1,0,0,1,6,,,,49.10%,1346,9
2021-03-25,0,4,0,1,0,0,1,6,,,,49.10%,1346,9
2021-05-07,0,4,0,1,0,0,1,6,,,,49.10%,1346,9
2021-06-29,0,4,0,1,0,0,1,6,,,,48.68%,1364,9
2021-08-24,0,4,0,1,0,0,1,6,,,,48.68%,1364,9
2021-10-08,0,4,0,1,0,0,1,6,,,,49.93%,1492,9
2021-11-10,0,4,0,1,0,0,1,6,,,,53.02%,1492,9
2021-12-10,0,4,0,1,0,0,1,6,,,,59.52%,1563,9
2022-01-10,0,4,0,1,0,0,1,6,,,,68.87%,1645,10
2022-02-08,0,4,0,1,0,0,1,6,,,,68.87%,1645,10
2022-03-11,0,4,0,1,0,0,1,6,,,,68.87%,1645,10
2022-04-22,0,4,0,1,0,0,1,6,,,,67.24%,1645,10
2022-06-07,0,4,0,1,0,0,1,6,,,,67.24%,1681,10
2022-07-19,0,4,0,1,0,0,1,6,,,,68.87%,1681,10
2022-08-24,0,4,0,1,0,0,1,6,,,,68.87%,1684,10
2022-09-25,0,4,0,1,0,0,1,6,,,,68.87%,1684,10
2022-10-25,0,4,0,1,0,0,1,6,,,,68.87%,1684,10
2022-12-07,0,4,0,1,0,0,1,6,,,,68.87%,1684,10
2023-01-05,0,4,0,1,0,0,1,6,,,,68.87%,1684,10
2023-02-27,0,4,0,1,0,0,1,6,,,,68.87%,1684,10
2023-04-10,0,4,0,1,0,0,1,6,,,,68.87%,1684,10
